position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
1622,Al Unser Jr.'s Road to the Top,SNES,Mindscape  ,Radical Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Nov 94  ,N/A
1623,"Al Unser, Jr. Arcade Racing",PC,Mindscape  ,Mindscape Inc.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 95  ,N/A
1624,Alarm For Cobra 11 Vol.2: Hot Pursuit,PS2,RTL  ,Davilex  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,10th Jun 05  ,N/A
1625,All Japan Grand Touring Car Championship,PS,Kaneko Co. Ltd  ,Kaneko  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,23rd Feb 96  ,N/A
1626,All-Star Racing,PS,Mud Duck Productions  ,Unknown  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,06th Oct 02  ,N/A
1627,All-Star Racing 2,PS,Mud Duck Productions  ,Mud Duck  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,24th Apr 03  ,N/A
1628,AMA Superbike,PC,Unknown  ,Motorsims  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,N/A
1629,American Chopper,PC,Activision  ,Creat Studio  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,22nd Dec 04  ,N/A
1630,Anarchy: Rush Hour,PSN,Gaijin Entertainment  ,Gaijin Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Mar 10  ,N/A
1631,Andretti Racing,PC,EA Sports  ,Stormfront Studios  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th Nov 97  ,N/A
1632,Andretti Racing,SAT,EA Sports  ,Press Start Inc./ High Score Productions  ,N/A  ,9.0  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,17th Nov 97  ,N/A
1633,Antigrav Racing Championship,XBL,Microsoft  ,R3dDr4g0n  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,04th Nov 09  ,N/A
1634,Antz Extreme Racing,PC,Empire Interactive  ,Supersonic Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Aug 02  ,N/A
1635,Antz Racing,GB,Electronic Arts  ,RFX Interactive  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jun 01  ,N/A
1636,Aqua GT,PS,Take-Two Interactive  ,Take-Two Interactive  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Jan 01  ,N/A
1637,Aqua GT,DC,Take-Two Interactive  ,East Point Software LTD  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,22nd Dec 00  ,N/A
1638,Aqua Moto Racing Utopia,WiiU,Zordix AB  ,Zordix AB  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,19th Apr 18  ,05th Oct 20
1639,ARC Ninja Edition,XBL,Microsoft  ,R3dDr4g0n  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Nov 09  ,N/A
1640,Armada F/X Racers,GB,Metro 3D  ,Metro3D  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Aug 00  ,N/A
1641,Armageddon Riders,PSN,Unknown  ,Targem Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,07th Jun 11  ,N/A
1642,Army Racer,PC,Techland  ,Comgame 576 Ltd.  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,15th Oct 05  ,N/A
1643,Art Camion Geijutsuden,PS,TYO  ,TYO  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,16th Dec 99  ,N/A
1644,Art Style: light trax,WW,Nintendo  ,skip Ltd.  ,N/A  ,7.4  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,24th May 10  ,N/A
1645,Asphalt 4: Elite Racing,DSiW,Gameloft  ,Gameloft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,06th Jul 09  ,N/A
1646,Asphalt: Urban GT,NGage,Nokia  ,Gameloft  ,N/A  ,7.5  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,15th Nov 04  ,N/A
1647,Asphalt: Urban GT 2,PSN,Ubisoft  ,Virtuos  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,07th Jan 10  ,N/A
1648,Asphalt: Urban GT 2,NGage,Nokia  ,Gameloft  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,06th Dec 05  ,N/A
1649,Astro Fang: Super Machine,NES,Unknown  ,A-Wave  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Oct 90  ,N/A
