position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
172,Middle-Earth: Shadow of War,PS4,Warner Bros. Interactive Entertainment  ,Monolith Productions  ,N/A  ,N/A  ,N/A  ,N/A,2.04m,0.82m,0.84m,0.06m,0.33m,10th Oct 17  ,10th Jan 18
173,Peter Jackson's King Kong: The Official Game of the Movie,PS2,Ubisoft  ,Ubisoft Montpellier  ,N/A  ,N/A  ,N/A  ,N/A,2.04m,0.71m,1.02m,N/A,0.31m,21st Nov 05  ,N/A
174,LEGO City Undercover: The Chase Begins,3DS,Nintendo  ,TT Fusion  ,N/A  ,6.2  ,N/A  ,2.04m,N/A,N/A,N/A,N/A,N/A,21st Apr 13  ,05th Jan 18
175,Onimusha: Warlords,PS2,Capcom  ,Flagship  ,N/A  ,8.7  ,7.3  ,2.02m,N/A,N/A,N/A,N/A,N/A,13th Mar 01  ,N/A
176,Chivalry: Medieval Warfare,PC,Media.Vision  ,Torn Banner Studios  ,N/A  ,N/A  ,N/A  ,2.00m,N/A,N/A,N/A,N/A,N/A,16th Oct 12  ,01st May 18
177,Fire Emblem Warriors,Series,Nintendo  ,Omega Force  ,N/A  ,N/A  ,N/A  ,2.00m,N/A,N/A,N/A,N/A,N/A,20th Oct 17  ,17th Aug 22
178,Hulk,All,Universal Interactive  ,Radical Entertainment  ,N/A  ,N/A  ,N/A  ,2.00m,N/A,N/A,N/A,N/A,N/A,28th May 03  ,26th Sep 22
179,Icey,All,X.D. Network Inc.  ,FantaBlade Network  ,N/A  ,N/A  ,N/A  ,2.00m,N/A,N/A,N/A,N/A,N/A,17th Nov 16  ,18th Aug 21
180,inFAMOUS,PS3,Sony Computer Entertainment  ,Sucker Punch Productions  ,8.2  ,8.7  ,9.1  ,2.00m,N/A,N/A,N/A,N/A,N/A,26th May 09  ,N/A
181,Resident Evil 4,Wii,Capcom  ,Capcom Production Studio 4  ,9.0  ,9.2  ,9.7  ,2.00m,N/A,N/A,N/A,N/A,N/A,19th Jun 07  ,20th Jul 19
182,Saints Row,X360,THQ  ,Volition Inc.  ,N/A  ,8.0  ,N/A  ,2.00m,N/A,N/A,N/A,N/A,N/A,29th Aug 06  ,N/A
183,Sifu,All,Sloclap  ,Sloclap  ,N/A  ,N/A  ,N/A  ,2.00m,N/A,N/A,N/A,N/A,N/A,08th Feb 22  ,02nd Mar 22
184,Warhammer: Vermintide 2,All,Fatshark  ,Fatshark  ,N/A  ,N/A  ,N/A  ,2.00m,N/A,N/A,N/A,N/A,N/A,08th Mar 18  ,21st Jan 21
185,Tenchu: Stealth Assassins,PS,Activision  ,Acquire  ,N/A  ,8.8  ,N/A  ,N/A,1.99m,0.95m,0.64m,0.27m,0.13m,31st Aug 98  ,N/A
186,Resident Evil 6,X360,Capcom  ,Capcom  ,N/A  ,N/A  ,N/A  ,N/A,1.97m,1.12m,0.61m,0.07m,0.16m,02nd Oct 12  ,N/A
187,E.T.: The Extra Terrestrial,2600,Atari  ,Atari  ,N/A  ,N/A  ,N/A  ,N/A,1.97m,1.84m,0.11m,N/A,0.02m,01st Jan 82  ,N/A
188,Dishonored 2,PS4,Bethesda Softworks  ,Arkane Studios  ,N/A  ,N/A  ,N/A  ,N/A,1.97m,0.62m,1.02m,0.01m,0.31m,10th Nov 16  ,25th Apr 18
189,Lego Marvel Super Heroes,PS3,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,N/A  ,N/A  ,N/A  ,N/A,1.96m,0.77m,0.85m,0.01m,0.32m,22nd Oct 13  ,01st Dec 18
190,Grand Theft Auto: San Andreas,XB,Rockstar Games  ,Rockstar North  ,N/A  ,9.2  ,N/A  ,N/A,1.95m,1.26m,0.61m,N/A,0.09m,07th Jun 05  ,N/A
191,Lego Marvel Super Heroes,PS4,Warner Bros. Interactive Entertainment  ,Traveller's Tales  ,8.5  ,N/A  ,N/A  ,N/A,1.91m,0.59m,1.00m,0.01m,0.30m,15th Nov 13  ,01st Dec 18
192,Tomb Raider (2013),X360,Square Enix  ,Crystal Dynamics  ,N/A  ,8.5  ,N/A  ,N/A,1.90m,0.86m,0.87m,0.01m,0.16m,05th Mar 13  ,06th Jan 18
193,inFAMOUS 2,PS3,Sony Computer Entertainment  ,Sucker Punch Productions  ,8.9  ,8.1  ,N/A  ,N/A,1.87m,1.05m,0.48m,0.08m,0.26m,07th Jun 11  ,N/A
194,Star Wars: The Force Unleashed,Wii,LucasArts  ,Krome Studios  ,7.3  ,6.8  ,7.4  ,N/A,1.86m,1.11m,0.56m,0.00m,0.19m,16th Sep 08  ,N/A
195,Broforce,PC,Devolver Digital  ,Free Lives Games  ,N/A  ,N/A  ,N/A  ,1.86m,N/A,N/A,N/A,N/A,N/A,07th Apr 14  ,N/A
196,The Evil Within,PS4,Bethesda Softworks  ,Tango Gameworks  ,6.2  ,7.7  ,N/A  ,N/A,1.86m,0.56m,0.90m,0.11m,0.28m,14th Oct 14  ,13th Mar 18
197,Phineas and Ferb,DS,Disney Interactive Studios  ,Disney Interactive Studios  ,N/A  ,N/A  ,N/A  ,N/A,1.85m,1.33m,0.37m,N/A,0.15m,03rd Feb 09  ,N/A
198,Dragon Ball: Xenoverse 2,XOne,Namco Bandai Games  ,Dimps Corporation  ,N/A  ,N/A  ,N/A  ,1.82m,N/A,N/A,N/A,N/A,N/A,25th Oct 16  ,03rd Mar 18
199,Alan Wake,PC,Remedy Entertainment  ,Remedy Entertainment  ,N/A  ,N/A  ,N/A  ,1.80m,N/A,N/A,N/A,N/A,N/A,16th Feb 12  ,02nd Nov 18
200,Dead Rising,X360,Capcom  ,Capcom Production Studio 1  ,N/A  ,8.4  ,N/A  ,1.80m,N/A,N/A,N/A,N/A,N/A,08th Aug 06  ,N/A
