position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
2540,Death Crimson,SAT,Ecole  ,Ecole Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,09th Aug 96  ,N/A
2541,Death Crimson 2,DC,Ecole  ,Ecole Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th Nov 99  ,N/A
2542,Death Crimson OX,DC,Sammy Corporation  ,Ecole Software  ,N/A  ,5.1  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,05th Aug 01  ,N/A
2543,Deathmatch Classic,PC,Valve  ,Valve Software  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jun 01  ,N/A
2544,DeathSmiles 2X,XBL,Cave  ,Cave  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,17th May 11  ,N/A
2545,Decimation X,XBL,Microsoft  ,Xona Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,16th Jan 10  ,N/A
2546,Deep Black,PSN,Unknown  ,BiArt  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,N/A
2547,Deep Black,X360,505 Games  ,BiArt Studios  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,31st Dec 20  ,N/A
2548,Deep Black,PS3,505 Games  ,BiArt Studios  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,31st Dec 20  ,N/A
2549,Deep Black,XBL,Unknown  ,BiArt  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,N/A  ,N/A
2550,Deep Blue,PCE,NEC  ,Pack-In-Video  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 89  ,N/A
2551,DefCon 5,3DO,Multisoft  ,Millennium Interactive  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,17th May 96  ,N/A
2552,DefCon 5,SAT,Data East  ,Millennium Interactive  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,07th Jun 96  ,N/A
2553,Defender,5200,Atari  ,Atari  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 83  ,N/A
2554,Defender,XBL,Midway Games  ,Digital Eclipse  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,15th Nov 06  ,N/A
2555,Defender 2000,AJ,Atari  ,Atari Games (Midway)  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 96  ,N/A
2556,Defender II,NES,HAL Laboratory  ,HAL Laboratory  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jul 88  ,N/A
2557,Defender of Zorgaba,XBL,Microsoft  ,Nashz99  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,05th Jun 09  ,N/A
2558,Delta Force,PC,NovaLogic  ,NovaLogic  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,30th Sep 98  ,N/A
2559,Delta Force 10th Anniversary Collection,PC,NovaLogic  ,NovaLogic  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,16th Jan 09  ,N/A
2560,Delta Force: Angel Falls,PC,Unknown  ,NovaLogic  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 70  ,N/A
2561,Delta Force: Black Hawk Down,PC,NovaLogic  ,NovaLogic  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,23rd Mar 03  ,N/A
2562,Delta Force: Black Hawk Down - Team Sabre,PC,NovaLogic  ,Ritual Entertainment  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,20th Jan 04  ,N/A
2563,Delta Force: Black Hawk Down - Team Sabre,PS2,NovaLogic  ,Rebellion Developments  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,21st Nov 06  ,N/A
2564,Delta Force: Black Hawk Down Platinum Pack,PC,NovaLogic  ,NovaLogic  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,22nd Mar 04  ,N/A
2565,Delta Force: Land Warrior,PC,NovaLogic  ,NovaLogic  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,07th Nov 00  ,N/A
2566,Delta Force: Task Force Dagger,PC,NovaLogic  ,Zombie  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,27th Jun 02  ,N/A
2567,Delta Force: Urban Warfare,PS,NovaLogic  ,Rebellion Developments  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,02nd Jul 02  ,N/A
2568,Delta Force: Urban Warfare,PSN,Sony Computer Entertainment  ,Rebellion Developments  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,25th May 10  ,N/A
