position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
2384,Shockwave Assault,PC,Electronic Arts  ,Paradox Development  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jun 97  ,N/A
2385,Shockwave Assault,SAT,Electronic Arts  ,Paradox Development  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 96  ,N/A
2386,Shockwave: Operation Jumpgate,PS,Electronic Arts  ,Crystal Dynamics  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,18th Oct 96  ,N/A
2387,Shockwave: Operation Jumpgate,3DO,Electronic Arts  ,Crystal Dynamics  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,01st Jan 95  ,N/A
2388,Shopping Mall Parking,PC,Devilish Developments  ,Devilish Developments  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,21st Mar 14  ,N/A
2389,Shoujo Kakumei Utena: Itsuka Kakumei Sarero Monogatari,SAT,Sega  ,Sega  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th May 98  ,N/A
2390,Shuushoku Game,SNES,Imagineer  ,Lenar  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,28th Jul 95  ,N/A
2391,Sid Meier's Civilization: Beyond Earth,OSX,2K Games  ,Firaxis Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,26th Nov 14  ,16th Oct 18
2392,Sid Meier's Civilization: Beyond Earth,Linux,2K Games  ,Firaxis Games  ,N/A  ,N/A  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,18th Dec 14  ,16th Oct 18
2393,Silent Hunter: Wolves of the Pacific U-Boat Missions Expansion,PC,Ubisoft  ,Ubisoft Romania  ,N/A  ,7.0  ,N/A  ,N/A,N/A,N/A,N/A,N/A,N/A,24th Mar 08  ,N/A
