position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
775,Animal Snap: Rescue Them 2 By 2,GBA,Ignition Entertainment  ,"Awesome Developments, Ltd.  ",N/A  ,N/A  ,N/A  ,N/A,0.01m,0.00m,0.00m,N/A,0.00m,01st Nov 02  ,N/A
776,Matchstick,DS,DreamCatcher Interactive  ,Ertain  ,N/A  ,N/A  ,N/A  ,N/A,0.01m,0.00m,0.00m,N/A,0.00m,22nd Dec 08  ,N/A
777,Gothic Fiction: Dark Saga,PC,Big Fish Games  ,GSP  ,N/A  ,N/A  ,N/A  ,N/A,0.01m,N/A,0.01m,N/A,0.00m,08th May 15  ,22nd Sep 18
778,Dr. Sudoku,GBA,Mastiff  ,Success  ,N/A  ,6.7  ,N/A  ,N/A,0.01m,0.00m,0.00m,N/A,0.00m,03rd May 06  ,N/A
779,Chainz Galaxy,DS,Jack of All Games  ,Jack of All Games  ,N/A  ,N/A  ,N/A  ,N/A,0.01m,N/A,0.00m,N/A,0.00m,N/A  ,N/A
780,bit Generations: Dialhex,GBA,Nintendo  ,skip Ltd.  ,N/A  ,7.0  ,N/A  ,N/A,0.01m,N/A,N/A,0.01m,0.00m,13th Jul 06  ,N/A
781,Challenge Me: Word Puzzles,PC,O-Games  ,O Games  ,N/A  ,N/A  ,N/A  ,N/A,0.01m,N/A,0.00m,N/A,0.00m,03rd May 11  ,N/A
782,Mystic Gateways: The Celestial Quest,PC,Big Fish Games  ,Black Lime Games  ,N/A  ,N/A  ,N/A  ,N/A,0.01m,N/A,0.00m,N/A,0.00m,10th Mar 15  ,22nd Sep 18
783,Take A Break's: Puzzle Bonanza,DS,Ubisoft  ,Ubisoft  ,N/A  ,N/A  ,N/A  ,N/A,0.01m,N/A,0.00m,N/A,0.00m,19th Nov 10  ,N/A
784,theta,DS,Nintendo  ,VITEI  ,N/A  ,N/A  ,N/A  ,N/A,0.01m,N/A,N/A,0.01m,N/A,06th Sep 07  ,N/A
785,Nintama Rantarou: Nintama no Tame no Ninjutsu Training,DS,Russel  ,Russel  ,N/A  ,N/A  ,N/A  ,N/A,0.01m,N/A,N/A,0.01m,N/A,26th Mar 09  ,N/A
786,Rampage Puzzle Attack,GBA,Midway Games  ,Ninai Games  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,0.00m,0.00m,N/A,0.00m,29th Nov 01  ,N/A
787,The World of Golden Eggs: Nori Nori Uta Dekichatte Kei,DS,AQ Interactive  ,AQ Interactive  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,N/A,0.00m,N/A,19th Feb 09  ,N/A
788,Roogoo,PC,SouthPeak Interactive  ,SpiderMonk Ent.  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,30th Jun 08  ,N/A
789,Cradle Double Pack,DS,Rising Star   ,cerasus.media GmbH  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,28th Apr 11  ,N/A
790,Tetris: The Grand Master Ace,X360,AQ Interactive  ,Arika  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,N/A,0.00m,N/A,10th Dec 05  ,N/A
791,Egg Mania,GBA,Kemco  ,HotGen Studios  ,N/A  ,7.3  ,N/A  ,N/A,0.00m,0.00m,0.00m,N/A,0.00m,16th Sep 02  ,N/A
792,The Sun Crossword Challenge,DS,Atari  ,Sanuk Games  ,N/A  ,N/A  ,N/A  ,N/A,0.00m,N/A,0.00m,N/A,0.00m,18th Apr 08  ,N/A
