position,game,console,publisher,developer,vgchart_score,critic_score,user_score,total_shipped,total_sales,na_sales,pal_sales,japan_sales,other_sales,release_date,last_update
309,Tom Clancy's Splinter Cell: Blacklist,PS3,Ubisoft  ,Ubisoft Toronto  ,N/A  ,8.3  ,N/A  ,N/A,0.98m,0.34m,0.44m,0.06m,0.15m,20th Aug 13  ,08th Mar 18
310,The LEGO Movie Videogame,PS3,Warner Bros. Interactive Entertainment  ,TT Fusion  ,N/A  ,N/A  ,N/A  ,N/A,0.98m,0.33m,0.47m,0.03m,0.16m,07th Feb 14  ,20th Mar 18
311,Enslaved: Odyssey to the West,All,Namco Bandai Games  ,Ninja Theory  ,N/A  ,N/A  ,N/A  ,0.97m,N/A,N/A,N/A,N/A,N/A,05th Oct 10  ,19th Nov 20
312,God of War,PC, PlayStation PC  ,SIE Santa Monica Studio  ,N/A  ,N/A  ,N/A  ,0.97m,N/A,N/A,N/A,N/A,N/A,14th Jan 22  ,26th May 22
313,Sea of Thieves,XOne,Microsoft Studios  ,Rare Ltd.  ,N/A  ,6.9  ,7.0  ,N/A,0.96m,0.60m,0.27m,N/A,0.09m,20th Mar 18  ,25th Sep 18
314,Metal Gear Solid V: Ground Zeroes,PC,Konami Digital Entertainment  ,Kojima Productions  ,N/A  ,8.5  ,N/A  ,0.89m,N/A,N/A,N/A,N/A,N/A,18th Dec 14  ,22nd Mar 18
315,Assassin's Creed III,PC,Ubisoft  ,Ubisoft Montreal  ,N/A  ,8.6  ,N/A  ,N/A,0.89m,0.28m,0.54m,N/A,0.07m,20th Nov 12  ,12th Apr 18
316,Sleeping Dogs,X360,Square Enix  ,United Front Games  ,8.8  ,7.9  ,N/A  ,N/A,0.87m,0.38m,0.40m,0.01m,0.08m,14th Aug 12  ,07th Mar 18
317,Paper Mario: Color Splash,WiiU,Nintendo  ,Intelligent Systems  ,N/A  ,7.4  ,6.4  ,N/A,0.87m,0.35m,0.37m,0.08m,0.06m,07th Oct 16  ,31st Mar 18
318,Dead Rising 4,XOne,Microsoft Studios  ,Capcom  ,N/A  ,N/A  ,N/A  ,0.87m,N/A,N/A,N/A,N/A,N/A,06th Dec 16  ,25th Sep 18
319,LEGO Batman 2: DC Super Heroes,3DS,Warner Bros. Interactive Entertainment  ,TT Fusion  ,N/A  ,N/A  ,N/A  ,N/A,0.86m,0.42m,0.37m,N/A,0.07m,26th Jun 12  ,02nd Jan 19
320,Mafia III,PC,2K Games  ,Hangar 13  ,N/A  ,6.5  ,N/A  ,0.86m,N/A,N/A,N/A,N/A,N/A,07th Oct 16  ,02nd Apr 18
321,Days Gone,PC,PlayStation PC  ,SIE Bend Studio  ,N/A  ,N/A  ,N/A  ,0.85m,N/A,N/A,N/A,N/A,N/A,18th May 21  ,06th Jan 22
322,Darksiders II,PS3,THQ  ,Vigil Games  ,N/A  ,8.3  ,N/A  ,N/A,0.85m,0.35m,0.37m,0.01m,0.13m,14th Aug 12  ,14th Mar 18
323,Ben 10 Ultimate Alien: Cosmic Destruction,All,D3 Publisher  ,Papaya Studio Corporation  ,N/A  ,N/A  ,N/A  ,0.83m,N/A,N/A,N/A,N/A,N/A,05th Oct 10  ,18th Nov 20
324,Ben 10 Alien Force: Vilgax Attacks,All,D3 Publisher  ,Papaya Studio Corporation  ,N/A  ,N/A  ,N/A  ,0.81m,N/A,N/A,N/A,N/A,N/A,27th Oct 09  ,18th Nov 20
325,Little Big Adventure,Series,Electronic Arts  ,Adeline Software  ,N/A  ,N/A  ,N/A  ,0.80m,N/A,N/A,N/A,N/A,N/A,01st Oct 94  ,30th Mar 21
326,The Amazing Spider-Man (2012),PS3,Activision  ,Beenox  ,N/A  ,7.3  ,N/A  ,N/A,0.80m,0.31m,0.36m,N/A,0.12m,26th Jun 12  ,15th Mar 18
327,Deadlight,PC,Microsoft Studios  ,Tequila Works  ,N/A  ,N/A  ,N/A  ,0.80m,N/A,N/A,N/A,N/A,N/A,25th Oct 12  ,07th Feb 19
328,Darksiders II,X360,THQ  ,Vigil Games  ,8.4  ,8.6  ,N/A  ,N/A,0.79m,0.45m,0.27m,0.00m,0.07m,14th Aug 12  ,07th Feb 18
329,Shadow of the Tomb Raider,XOne,Square Enix  ,Eidos Montreal  ,N/A  ,N/A  ,N/A  ,N/A,0.78m,0.46m,0.25m,N/A,0.07m,14th Sep 18  ,12th Sep 18
330,PokéPark 2: Wonders Beyond,Wii,Nintendo  ,Creatures Inc.  ,6.4  ,6.5  ,N/A  ,N/A,0.76m,0.26m,0.19m,0.27m,0.04m,27th Feb 12  ,16th Mar 18
331,Disney Infinity 2.0: Marvel Super Heroes,PS4,Disney Interactive Studios  ,Avalanche Software  ,N/A  ,8.0  ,N/A  ,N/A,0.75m,0.37m,0.25m,N/A,0.13m,23rd Sep 14  ,06th Feb 18
